rank,german,article,plural,english,pos,example_de,example_en
51,Drittel,das,Drittel,"third (fraction)",noun,"Ein Drittel der Klasse fehlt.","A third of the class is absent."
52,Viertel,das,Viertel,"quarter",noun,"Gib mir bitte ein Viertel.","Please give me a quarter."
53,ganz,,,"whole; entire",adjective,"Er hat den ganzen Kuchen gegessen.","He ate the whole cake."
54,Prozent,das,Prozent,"percent",noun,"Nur zehn Prozent haben geantwortet.","Only ten percent answered."
55,einmal,,,"once",adverb,"Ich war einmal in Wien.","I was in Vienna once."
56,zweimal,,,"twice",adverb,"Nimm die Tabletten zweimal täglich.","Take the tablets twice a day."
57,dreimal,,,"three times",adverb,"Er hat dreimal angerufen.","He called three times."
58,mehrmals,,,"several times",adverb,"Wir haben es mehrmals versucht.","We tried it several times."
59,doppelt,,,"double; twice as much",adjective,"Der Preis ist doppelt so hoch.","The price is twice as high."
60,erstens,,,"firstly",adverb,"Erstens ist es zu teuer.","Firstly, it is too expensive."
61,zweitens,,,"secondly",adverb,"Zweitens habe ich keine Zeit.","Secondly, I have no time."
62,Zahl,die,Zahlen,"number; figure",noun,"Schreib die Zahl auf.","Write the number down."
63,Nummer,die,Nummern,"number (of a thing)",noun,"Wie ist deine Nummer?","What is your number?"
64,Ziffer,die,Ziffern,"digit",noun,"Die Zahl hat vier Ziffern.","The number has four digits."
65,Menge,die,Mengen,"amount; quantity",noun,"Das ist eine große Menge.","That is a large amount."
66,Stück,das,Stücke,"piece",noun,"Ich nehme drei Stück.","I will take three pieces."
67,Paar,das,Paare,"pair",noun,"Ich brauche ein Paar Schuhe.","I need a pair of shoes."
68,Dutzend,das,Dutzende,"dozen",noun,"Wir kaufen ein Dutzend Eier.","We are buying a dozen eggs."
69,Summe,die,Summen,"sum; total",noun,"Die Summe stimmt nicht.","The total is not right."
70,Rest,der,Reste,"rest; remainder",noun,"Den Rest bezahle ich morgen.","I will pay the rest tomorrow."
71,Durchschnitt,der,Durchschnitte,"average",noun,"Der Durchschnitt liegt bei drei.","The average is three."
72,Ergebnis,das,Ergebnisse,"result",noun,"Das Ergebnis war überraschend.","The result was surprising."
73,zählen,,,"to count",verb,"Zähl bitte die Teller.","Please count the plates."
74,rechnen,,,"to calculate; to do sums",verb,"Sie rechnet sehr schnell.","She calculates very fast."
75,messen,,,"to measure",verb,"Wir messen die Länge.","We are measuring the length."
76,wiegen,,,"to weigh",verb,"Das Paket wiegt zwei Kilo.","The parcel weighs two kilos."
77,teilen,,,"to divide; to share",verb,"Wir teilen die Rechnung.","We are splitting the bill."
78,schätzen,,,"to estimate",verb,"Ich schätze das Alter auf vierzig.","I estimate the age at forty."
79,plus,,,"plus",preposition,"Drei plus vier ist sieben.","Three plus four is seven."
80,minus,,,"minus",preposition,"Zehn minus zwei ist acht.","Ten minus two is eight."
81,mal,,,"times",adverb,"Drei mal drei ist neun.","Three times three is nine."
82,gleich,,,"equals; the same",adjective,"Zwei plus zwei ist gleich vier.","Two plus two equals four."
83,mehr,,,"more",adverb,"Ich brauche mehr Zeit.","I need more time."
84,weniger,,,"less; fewer",adverb,"Heute waren weniger Leute da.","Fewer people were there today."
85,ungefähr,,,"approximately",adverb,"Es dauert ungefähr eine Stunde.","It takes approximately an hour."
86,etwa,,,"about; roughly",adverb,"Wir sind etwa zwanzig Personen.","We are about twenty people."
87,mindestens,,,"at least",adverb,"Das dauert mindestens drei Tage.","That takes at least three days."
88,höchstens,,,"at most",adverb,"Es kostet höchstens fünfzig Euro.","It costs at most fifty euros."
89,insgesamt,,,"in total; altogether",adverb,"Insgesamt waren es hundert Gäste.","Altogether there were a hundred guests."
90,rund,,,"roughly; around",adverb,"Rund tausend Menschen kamen.","Roughly a thousand people came."
91,genau,,,"exactly",adverb,"Es sind genau sieben Stück.","There are exactly seven pieces."
92,fast,,,"almost",adverb,"Wir sind fast fertig.","We are almost finished."
93,Euro,der,Euro,"euro",noun,"Das macht zwölf Euro.","That comes to twelve euros."
94,Cent,der,Cent,"cent",noun,"Es fehlen noch fünfzig Cent.","Fifty cents are still missing."
95,Kilo,das,Kilo,"kilo",noun,"Ich möchte ein Kilo Äpfel.","I would like a kilo of apples."
96,Gramm,das,Gramm,"gram",noun,"Nimm zweihundert Gramm Mehl.","Take two hundred grams of flour."
97,Pfund,das,Pfund,"pound (500 g)",noun,"Ein Pfund Butter, bitte.","A pound of butter, please."
98,Liter,der,Liter,"liter",noun,"Wir brauchen zwei Liter Milch.","We need two liters of milk."
99,Meter,der,Meter,"meter",noun,"Der Raum ist vier Meter breit.","The room is four meters wide."
100,Zentimeter,der,Zentimeter,"centimeter",noun,"Schneide zehn Zentimeter ab.","Cut off ten centimeters."
101,Kilometer,der,Kilometer,"kilometer",noun,"Bis dorthin sind es drei Kilometer.","It is three kilometers from here."
102,Grad,das,Grad,"degree",noun,"Heute sind es zwanzig Grad.","It is twenty degrees today."
103,Tonne,die,Tonnen,"ton",noun,"Der Lastwagen wiegt fünf Tonnen.","The truck weighs five tons."
104,viele,,,"many",pronoun,"Viele Leute warten draußen.","Many people are waiting outside."
105,wenige,,,"few",pronoun,"Nur wenige haben geantwortet.","Only a few answered."
106,einige,,,"some; a few",pronoun,"Einige Fragen sind noch offen.","Some questions are still open."
107,mehrere,,,"several",pronoun,"Wir haben mehrere Möglichkeiten.","We have several options."
108,genug,,,"enough",adverb,"Wir haben genug Brot.","We have enough bread."
109,beide,,,"both",pronoun,"Beide Antworten sind richtig.","Both answers are correct."
110,jeder,,,"every; each",pronoun,"Jeder Schüler bekommt ein Buch.","Every pupil gets a book."
111,manche,,,"some",pronoun,"Manche Wörter sind schwer.","Some words are difficult."
112,kein,,,"no; not any",pronoun,"Ich habe kein Geld dabei.","I do not have any money on me."
113,alle,,,"all",pronoun,"Alle Plätze sind besetzt.","All the seats are taken."
114,Anzahl,die,,"number; count",noun,"Die Anzahl der Gäste steigt.","The number of guests is rising."
115,Mal,das,Male,"time; occasion",noun,"Das ist das erste Mal.","That is the first time."
