rank,german,article,plural,english,pos,example_de,example_en
26,dass,,,"that",conjunction,"Ich weiß, dass du recht hast.","I know that you are right."
27,bei,,,"at; near; with",preposition,"Ich wohne bei meinen Eltern.","I live with my parents."
28,wir,,,"we",pronoun,"Wir fahren morgen nach Hause.","We are driving home tomorrow."
29,können,,,"can; to be able to",verb,"Kannst du mir helfen?","Can you help me?"
30,dieser,,,"this",pronoun,"Dieser Weg ist kürzer.","This way is shorter."
31,nach,,,"after; to; toward",preposition,"Nach dem Essen gehen wir spazieren.","After the meal we go for a walk."
32,um,,,"at; around; in order to",preposition,"Der Zug fährt um acht Uhr.","The train leaves at eight o'clock."
33,aber,,,"but",conjunction,"Ich bin müde, aber glücklich.","I am tired but happy."
34,noch,,,"still; yet",adverb,"Hast du noch Hunger?","Are you still hungry?"
35,wie,,,"how; as; like",adverb,"Wie geht es dir?","How are you?"
36,was,,,"what",pronoun,"Was machst du am Wochenende?","What are you doing on the weekend?"
37,wenn,,,"if; when",conjunction,"Wenn es regnet, bleiben wir zu Hause.","If it rains we will stay home."
38,nur,,,"only; just",adverb,"Ich habe nur fünf Euro.","I only have five euros."
39,oder,,,"or",conjunction,"Möchtest du Tee oder Kaffee?","Would you like tea or coffee?"
40,sagen,,,"to say; to tell",verb,"Was willst du damit sagen?","What do you mean by that?"
41,man,,,"one; you (impersonal)",pronoun,"Hier darf man nicht rauchen.","You are not allowed to smoke here."
42,über,,,"over; about; above",preposition,"Wir sprechen über das Wetter.","We are talking about the weather."
43,da,,,"there; since",adverb,"Da drüben ist die Post.","The post office is over there."
44,schon,,,"already",adverb,"Bist du schon fertig?","Are you finished already?"
45,Jahr,das,Jahre,"year",noun,"Nächstes Jahr fahren wir nach Spanien.","Next year we are going to Spain."
46,müssen,,,"must; to have to",verb,"Ich muss jetzt gehen.","I have to go now."
47,vor,,,"before; in front of; ago",preposition,"Wir treffen uns vor dem Kino.","We are meeting in front of the cinema."
48,mehr,,,"more",adverb,"Ich brauche mehr Zeit.","I need more time."
49,durch,,,"through",preposition,"Wir gehen durch den Park.","We walk through the park."
50,wollen,,,"to want",verb,"Sie will Ärztin werden.","She wants to become a doctor."
51,alle,,,"all; everyone",pronoun,"Alle Kinder lachen.","All the children are laughing."
52,sehr,,,"very",adverb,"Das Essen war sehr gut.","The food was very good."
53,andere,,,"other",adjective,"Wir nehmen einen anderen Weg.","We will take another way."
54,kein,,,"no; not any",pronoun,"Ich habe kein Geld dabei.","I do not have any money on me."
55,bis,,,"until; to",preposition,"Ich warte bis morgen.","I will wait until tomorrow."
56,groß,,,"big; large; tall",adjective,"Berlin ist eine große Stadt.","Berlin is a big city."
57,immer,,,"always",adverb,"Er kommt immer zu spät.","He is always late."
58,viel,,,"much; a lot",adjective,"Sie hat viel Arbeit.","She has a lot of work."
59,geben,,,"to give",verb,"Kannst du mir das Salz geben?","Can you give me the salt?"
60,dann,,,"then",adverb,"Zuerst essen wir, dann gehen wir.","First we eat, then we go."
61,gut,,,"good; well",adjective,"Das ist eine gute Idee.","That is a good idea."
62,neu,,,"new",adjective,"Ich habe ein neues Auto.","I have a new car."
63,Mensch,der,Menschen,"human being; person",noun,"Viele Menschen warten draußen.","Many people are waiting outside."
64,jetzt,,,"now",adverb,"Jetzt verstehe ich das Problem.","Now I understand the problem."
65,machen,,,"to make; to do",verb,"Was machst du gerade?","What are you doing right now?"
66,kommen,,,"to come",verb,"Wann kommst du nach Hause?","When are you coming home?"
67,sollen,,,"should; to be supposed to",verb,"Du sollst mehr schlafen.","You should sleep more."
68,wieder,,,"again",adverb,"Er ist schon wieder krank.","He is sick again."
69,mein,,,"my",pronoun,"Das ist mein Bruder.","That is my brother."
70,Zeit,die,Zeiten,"time",noun,"Ich habe heute keine Zeit.","I do not have time today."
71,hier,,,"here",adverb,"Hier ist es sehr ruhig.","It is very quiet here."
72,gehen,,,"to go; to walk",verb,"Wir gehen zu Fuß.","We are going on foot."
73,ja,,,"yes",adverb,"Ja, das stimmt.","Yes, that is right."
74,Frau,die,Frauen,"woman; wife; Mrs.",noun,"Die Frau neben mir ist Ärztin.","The woman next to me is a doctor."
75,sehen,,,"to see",verb,"Ich sehe dich morgen.","I will see you tomorrow."
76,Land,das,Länder,"country; land; state",noun,"Deutschland ist ein schönes Land.","Germany is a beautiful country."
77,Tag,der,Tage,"day",noun,"Der Tag war lang und heiß.","The day was long and hot."
78,eigen,,,"own",adjective,"Sie hat ihre eigene Wohnung.","She has her own apartment."
79,stehen,,,"to stand",verb,"Wir stehen an der Haltestelle.","We are standing at the bus stop."
80,lassen,,,"to let; to leave",verb,"Lass mich in Ruhe!","Leave me alone!"
81,wo,,,"where",adverb,"Wo hast du das gefunden?","Where did you find that?"
82,erste,,,"first",adjective,"Das ist mein erster Tag hier.","This is my first day here."
83,selbst,,,"self; even",adverb,"Das habe ich selbst gemacht.","I made that myself."
84,zwei,,,"two",numeral,"Wir haben zwei Kinder.","We have two children."
85,unter,,,"under; among",preposition,"Die Katze liegt unter dem Tisch.","The cat is lying under the table."
86,denn,,,"because; for",conjunction,"Ich bleibe hier, denn es regnet.","I am staying here because it is raining."
87,Leben,das,Leben,"life",noun,"Das Leben ist manchmal schwer.","Life is hard sometimes."
88,Mann,der,Männer,"man; husband",noun,"Der Mann trägt einen blauen Mantel.","The man is wearing a blue coat."
89,wissen,,,"to know",verb,"Ich weiß die Antwort nicht.","I do not know the answer."
90,deutsch,,,"German",adjective,"Er liest eine deutsche Zeitung.","He is reading a German newspaper."
91,finden,,,"to find",verb,"Ich kann meinen Schlüssel nicht finden.","I cannot find my key."
92,weit,,,"far; wide",adjective,"Der Bahnhof ist nicht weit.","The station is not far."
93,Prozent,das,Prozent,"percent",noun,"Nur zehn Prozent haben geantwortet.","Only ten percent answered."
94,Kind,das,Kinder,"child",noun,"Das Kind schläft schon.","The child is already asleep."
95,nun,,,"now; well",adverb,"Nun müssen wir warten.","Now we have to wait."
96,Herr,der,Herren,"gentleman; Mr.",noun,"Guten Tag, Herr Meier!","Good day, Mr. Meier!"
97,gegen,,,"against; around",preposition,"Wir spielen gegen eine starke Mannschaft.","We are playing against a strong team."
98,Fall,der,Fälle,"case; fall",noun,"In diesem Fall hast du recht.","In this case you are right."
99,nichts,,,"nothing",pronoun,"Ich habe nichts gehört.","I heard nothing."
100,alt,,,"old",adjective,"Mein Großvater ist sehr alt.","My grandfather is very old."
101,drei,,,"three",numeral,"Wir bleiben drei Tage.","We are staying three days."
102,Haus,das,Häuser,"house",noun,"Ihr Haus hat einen großen Garten.","Their house has a big garden."
103,Arbeit,die,Arbeiten,"work; job",noun,"Die Arbeit macht mir Spaß.","I enjoy the work."
104,Teil,der,Teile,"part",noun,"Ein Teil der Gruppe fehlt noch.","Part of the group is still missing."
105,bleiben,,,"to stay; to remain",verb,"Bleib bitte hier!","Please stay here!"
106,Stadt,die,Städte,"city; town",noun,"Die Stadt ist am Wochenende voll.","The city is crowded on weekends."
107,während,,,"during; while",preposition,"Während des Essens sprachen wir wenig.","During the meal we spoke little."
108,Frage,die,Fragen,"question",noun,"Darf ich eine Frage stellen?","May I ask a question?"
109,wenig,,,"little; few",adjective,"Wir haben wenig Zeit.","We have little time."
110,liegen,,,"to lie; to be located",verb,"Das Dorf liegt am Fluss.","The village lies by the river."
111,heute,,,"today",adverb,"Heute habe ich frei.","I have the day off today."
112,Seite,die,Seiten,"side; page",noun,"Lies bitte die nächste Seite.","Please read the next page."
113,dabei,,,"with it; at the same time",adverb,"Ich habe kein Geld dabei.","I do not have any money with me."
114,hoch,,,"high; tall",adjective,"Der Berg ist sehr hoch.","The mountain is very high."
115,Weg,der,Wege,"way; path",noun,"Der Weg zum Strand ist kurz.","The way to the beach is short."
116,sprechen,,,"to speak",verb,"Sprechen Sie Englisch?","Do you speak English?"
117,Woche,die,Wochen,"week",noun,"Nächste Woche fahre ich weg.","Next week I am going away."
118,Ende,das,Enden,"end",noun,"Am Ende waren alle zufrieden.","In the end everyone was happy."
119,bringen,,,"to bring",verb,"Bring mir bitte ein Glas Wasser.","Please bring me a glass of water."
120,halten,,,"to hold; to stop",verb,"Der Bus hält hier nicht.","The bus does not stop here."
121,Kopf,der,Köpfe,"head",noun,"Mir tut der Kopf weh.","My head hurts."
122,beide,,,"both",pronoun,"Beide Kinder sind krank.","Both children are sick."
123,leben,,,"to live",verb,"Sie leben seit zehn Jahren hier.","They have lived here for ten years."
124,Wort,das,Wörter,"word",noun,"Ich kenne dieses Wort nicht.","I do not know this word."
125,lang,,,"long",adjective,"Der Film war sehr lang.","The film was very long."
126,spät,,,"late",adjective,"Es ist schon spät.","It is already late."
127,Hand,die,Hände,"hand",noun,"Gib mir deine Hand.","Give me your hand."
128,Nacht,die,Nächte,"night",noun,"Die Nacht war kalt.","The night was cold."
129,Auge,das,Augen,"eye",noun,"Sie hat grüne Augen.","She has green eyes."
130,Wasser,das,Wasser,"water",noun,"Ich trinke viel Wasser.","I drink a lot of water."
131,klein,,,"small; little",adjective,"Wir wohnen in einer kleinen Wohnung.","We live in a small apartment."
132,Freund,der,Freunde,"friend; boyfriend",noun,"Mein bester Freund heißt Tom.","My best friend is called Tom."
133,Schule,die,Schulen,"school",noun,"Die Kinder gehen zur Schule.","The children go to school."
134,Buch,das,Bücher,"book",noun,"Dieses Buch ist sehr spannend.","This book is very exciting."
135,Auto,das,Autos,"car",noun,"Unser Auto ist kaputt.","Our car is broken."
136,Stunde,die,Stunden,"hour",noun,"Wir warten seit einer Stunde.","We have been waiting for an hour."
137,essen,,,"to eat",verb,"Was möchtest du essen?","What would you like to eat?"
138,trinken,,,"to drink",verb,"Ich trinke morgens Kaffee.","I drink coffee in the morning."
139,lesen,,,"to read",verb,"Sie liest jeden Abend.","She reads every evening."
140,schreiben,,,"to write",verb,"Ich schreibe ihr einen Brief.","I am writing her a letter."
141,arbeiten,,,"to work",verb,"Er arbeitet bei einer Bank.","He works at a bank."
142,fahren,,,"to drive; to travel",verb,"Wir fahren mit dem Zug.","We are traveling by train."
143,laufen,,,"to run; to walk",verb,"Sie läuft jeden Morgen.","She runs every morning."
144,spielen,,,"to play",verb,"Die Kinder spielen im Garten.","The children are playing in the garden."
145,kaufen,,,"to buy",verb,"Ich möchte ein Brot kaufen.","I would like to buy a loaf of bread."
146,glauben,,,"to believe; to think",verb,"Ich glaube, er hat recht.","I think he is right."
147,denken,,,"to think",verb,"Woran denkst du?","What are you thinking about?"
148,fragen,,,"to ask",verb,"Darf ich dich etwas fragen?","May I ask you something?"
149,heißen,,,"to be called",verb,"Wie heißt du?","What is your name?"
150,verstehen,,,"to understand",verb,"Ich verstehe kein Wort.","I do not understand a word."
151,Geld,das,Gelder,"money",noun,"Ich habe nicht genug Geld.","I do not have enough money."
152,Vater,der,Väter,"father",noun,"Mein Vater kocht sehr gern.","My father loves to cook."
153,Mutter,die,Mütter,"mother",noun,"Meine Mutter ruft jeden Sonntag an.","My mother calls every Sunday."
154,Familie,die,Familien,"family",noun,"Die ganze Familie kommt zu Besuch.","The whole family is coming to visit."
155,Morgen,der,Morgen,"morning",noun,"Am Morgen trinke ich Tee.","In the morning I drink tea."
156,Abend,der,Abende,"evening",noun,"Der Abend war sehr schön.","The evening was lovely."
157,Straße,die,Straßen,"street; road",noun,"Die Straße ist gesperrt.","The road is closed."
158,Zimmer,das,Zimmer,"room",noun,"Das Zimmer ist sehr hell.","The room is very bright."
159,Tisch,der,Tische,"table",noun,"Der Tisch ist aus Holz.","The table is made of wood."
160,Fenster,das,Fenster,"window",noun,"Mach bitte das Fenster zu.","Please close the window."
161,Tür,die,Türen,"door",noun,"Die Tür ist offen.","The door is open."
162,Stuhl,der,Stühle,"chair",noun,"Nimm dir einen Stuhl.","Take a chair."
163,schön,,,"beautiful; nice",adjective,"Das Wetter ist heute schön.","The weather is nice today."
164,schlecht,,,"bad",adjective,"Mir geht es heute schlecht.","I feel bad today."
165,schnell,,,"fast; quick",adjective,"Das ging sehr schnell.","That went very fast."
166,langsam,,,"slow",adjective,"Bitte sprich langsam.","Please speak slowly."
167,jung,,,"young",adjective,"Sie ist noch sehr jung.","She is still very young."
168,lieben,,,"to love",verb,"Ich liebe dich.","I love you."
169,helfen,,,"to help",verb,"Kannst du mir bitte helfen?","Can you please help me?"
170,warten,,,"to wait",verb,"Wir warten auf den Bus.","We are waiting for the bus."
171,hören,,,"to hear; to listen",verb,"Hörst du die Musik?","Do you hear the music?"
172,nehmen,,,"to take",verb,"Ich nehme den Zug um sieben.","I will take the seven o'clock train."
173,bekommen,,,"to get; to receive",verb,"Ich habe einen Brief bekommen.","I received a letter."
174,suchen,,,"to look for; to search",verb,"Ich suche meine Brille.","I am looking for my glasses."
175,zeigen,,,"to show",verb,"Zeig mir bitte den Weg.","Please show me the way."
176,beginnen,,,"to begin",verb,"Der Film beginnt um acht.","The film begins at eight."
177,Anfang,der,Anfänge,"beginning",noun,"Am Anfang war es schwer.","At the beginning it was hard."
178,Beispiel,das,Beispiele,"example",noun,"Nenn mir bitte ein Beispiel.","Please give me an example."
179,Problem,das,Probleme,"problem",noun,"Das ist kein Problem.","That is not a problem."
180,Grund,der,Gründe,"reason; ground",noun,"Es gibt keinen Grund zur Sorge.","There is no reason to worry."
181,Sache,die,Sachen,"thing; matter",noun,"Das ist eine wichtige Sache.","That is an important matter."
182,wichtig,,,"important",adjective,"Das ist mir sehr wichtig.","That is very important to me."
183,Möglichkeit,die,Möglichkeiten,"possibility; option",noun,"Es gibt noch eine andere Möglichkeit.","There is another option."
184,Person,die,Personen,"person",noun,"Nur eine Person darf hinein.","Only one person may enter."
185,Gruppe,die,Gruppen,"group",noun,"Wir arbeiten in kleinen Gruppen.","We work in small groups."
186,Firma,die,Firmen,"company; firm",noun,"Die Firma hat hundert Mitarbeiter.","The company has a hundred employees."
187,Geschichte,die,Geschichten,"story; history",noun,"Erzähl mir eine Geschichte.","Tell me a story."
188,Musik,die,,"music",noun,"Ich höre gern klassische Musik.","I like listening to classical music."
189,Film,der,Filme,"film; movie",noun,"Der Film hat mir gefallen.","I liked the film."
190,Wetter,das,,"weather",noun,"Das Wetter wird morgen besser.","The weather will be better tomorrow."
191,Sonne,die,Sonnen,"sun",noun,"Die Sonne scheint heute.","The sun is shining today."
192,Regen,der,,"rain",noun,"Der Regen hört nicht auf.","The rain will not stop."
193,Winter,der,Winter,"winter",noun,"Im Winter fahren wir Ski.","In winter we go skiing."
194,Sommer,der,Sommer,"summer",noun,"Der Sommer war sehr heiß.","The summer was very hot."
195,warm,,,"warm",adjective,"Zieh dich warm an!","Dress warmly!"
196,kalt,,,"cold",adjective,"Draußen ist es sehr kalt.","It is very cold outside."
197,Essen,das,Essen,"food; meal",noun,"Das Essen ist fertig.","The meal is ready."
198,Brot,das,Brote,"bread",noun,"Wir kaufen frisches Brot.","We are buying fresh bread."
199,Milch,die,,"milk",noun,"Möchtest du Milch im Kaffee?","Would you like milk in your coffee?"
200,Kaffee,der,Kaffees,"coffee",noun,"Ich trinke meinen Kaffee schwarz.","I drink my coffee black."
201,Wein,der,Weine,"wine",noun,"Wir trinken einen guten Wein.","We are drinking a good wine."
202,Bier,das,Biere,"beer",noun,"Ein Bier, bitte!","A beer, please!"
203,Fleisch,das,,"meat",noun,"Ich esse kein Fleisch.","I do not eat meat."
204,Obst,das,,"fruit",noun,"Obst ist gesund.","Fruit is healthy."
205,Gemüse,das,,"vegetables",noun,"Iss mehr Gemüse!","Eat more vegetables!"
206,Apfel,der,Äpfel,"apple",noun,"Der Apfel schmeckt süß.","The apple tastes sweet."
207,Ei,das,Eier,"egg",noun,"Ich esse morgens ein Ei.","I eat an egg in the morning."
208,Käse,der,Käse,"cheese",noun,"Dieser Käse kommt aus Frankreich.","This cheese comes from France."
209,Suppe,die,Suppen,"soup",noun,"Die Suppe ist zu heiß.","The soup is too hot."
210,Salz,das,Salze,"salt",noun,"Gib mir bitte das Salz.","Please pass me the salt."
211,Zucker,der,,"sugar",noun,"Nimmst du Zucker?","Do you take sugar?"
212,Hunger,der,,"hunger",noun,"Ich habe großen Hunger.","I am very hungry."
213,Durst,der,,"thirst",noun,"Hast du Durst?","Are you thirsty?"
214,kochen,,,"to cook",verb,"Heute koche ich.","Today I am cooking."
215,schmecken,,,"to taste",verb,"Das Essen schmeckt gut.","The food tastes good."
216,Restaurant,das,Restaurants,"restaurant",noun,"Wir essen heute im Restaurant.","We are eating at a restaurant today."
217,Hotel,das,Hotels,"hotel",noun,"Das Hotel liegt am Meer.","The hotel is by the sea."
218,Meer,das,Meere,"sea; ocean",noun,"Wir fahren ans Meer.","We are going to the sea."
219,Berg,der,Berge,"mountain",noun,"Wir wandern auf den Berg.","We are hiking up the mountain."
220,Wald,der,Wälder,"forest; woods",noun,"Der Wald ist still.","The forest is quiet."
221,Fluss,der,Flüsse,"river",noun,"Der Fluss ist tief.","The river is deep."
222,Garten,der,Gärten,"garden",noun,"Im Garten blühen Blumen.","Flowers are blooming in the garden."
223,Blume,die,Blumen,"flower",noun,"Ich schenke ihr Blumen.","I am giving her flowers."
224,Baum,der,Bäume,"tree",noun,"Der Baum ist sehr alt.","The tree is very old."
225,Tier,das,Tiere,"animal",noun,"Welches Tier magst du?","Which animal do you like?"
226,Hund,der,Hunde,"dog",noun,"Der Hund bellt laut.","The dog is barking loudly."
227,Katze,die,Katzen,"cat",noun,"Die Katze schläft auf dem Sofa.","The cat is sleeping on the sofa."
228,Vogel,der,Vögel,"bird",noun,"Ein Vogel sitzt am Fenster.","A bird is sitting at the window."
229,Pferd,das,Pferde,"horse",noun,"Das Pferd läuft über die Wiese.","The horse runs across the meadow."
230,Wohnung,die,Wohnungen,"apartment; flat",noun,"Die Wohnung ist zu teuer.","The apartment is too expensive."
231,teuer,,,"expensive",adjective,"Das Auto war sehr teuer.","The car was very expensive."
232,billig,,,"cheap",adjective,"Diese Schuhe waren billig.","These shoes were cheap."
233,Preis,der,Preise,"price; prize",noun,"Der Preis ist zu hoch.","The price is too high."
234,Euro,der,Euro,"euro",noun,"Das kostet zehn Euro.","That costs ten euros."
235,kosten,,,"to cost",verb,"Was kostet das?","What does that cost?"
236,bezahlen,,,"to pay",verb,"Ich möchte bitte bezahlen.","I would like to pay, please."
237,Geschäft,das,Geschäfte,"shop; business",noun,"Das Geschäft schließt um acht.","The shop closes at eight."
238,Markt,der,Märkte,"market",noun,"Am Samstag gehen wir auf den Markt.","On Saturday we go to the market."
239,Rechnung,die,Rechnungen,"bill; invoice",noun,"Die Rechnung, bitte!","The bill, please!"
240,Bank,die,Banken,"bank",noun,"Die Bank ist heute geschlossen.","The bank is closed today."
241,Zug,der,Züge,"train",noun,"Der Zug hat Verspätung.","The train is delayed."
242,Bus,der,Busse,"bus",noun,"Der Bus kommt gleich.","The bus is coming soon."
243,Flugzeug,das,Flugzeuge,"airplane",noun,"Das Flugzeug landet pünktlich.","The plane lands on time."
244,Bahnhof,der,Bahnhöfe,"train station",noun,"Wir treffen uns am Bahnhof.","We are meeting at the train station."
245,Fahrrad,das,Fahrräder,"bicycle",noun,"Ich fahre mit dem Fahrrad zur Arbeit.","I ride my bike to work."
246,Reise,die,Reisen,"trip; journey",noun,"Gute Reise!","Have a good trip!"
247,reisen,,,"to travel",verb,"Sie reist gern allein.","She likes traveling alone."
248,Urlaub,der,Urlaube,"vacation; holiday",noun,"Wir machen im Juli Urlaub.","We are taking a vacation in July."
249,Koffer,der,Koffer,"suitcase",noun,"Mein Koffer ist zu schwer.","My suitcase is too heavy."
250,schwer,,,"heavy; difficult",adjective,"Die Prüfung war sehr schwer.","The exam was very difficult."
251,leicht,,,"light; easy",adjective,"Diese Aufgabe ist leicht.","This task is easy."
252,Aufgabe,die,Aufgaben,"task; exercise",noun,"Die Aufgabe ist fast fertig.","The task is almost finished."
253,Prüfung,die,Prüfungen,"exam; test",noun,"Ich habe die Prüfung bestanden.","I passed the exam."
254,lernen,,,"to learn; to study",verb,"Sie lernt Deutsch.","She is learning German."
255,studieren,,,"to study (at university)",verb,"Er studiert Medizin.","He is studying medicine."
256,Universität,die,Universitäten,"university",noun,"Die Universität ist sehr alt.","The university is very old."
257,Lehrer,der,Lehrer,"teacher",noun,"Unser Lehrer ist sehr geduldig.","Our teacher is very patient."
258,Student,der,Studenten,"student",noun,"Der Student wohnt im Wohnheim.","The student lives in the dorm."
259,Sprache,die,Sprachen,"language",noun,"Deutsch ist eine schwere Sprache.","German is a difficult language."
260,üben,,,"to practice",verb,"Du musst mehr üben.","You have to practice more."
261,Beruf,der,Berufe,"profession; job",noun,"Was sind Sie von Beruf?","What is your profession?"
262,Arzt,der,Ärzte,"doctor",noun,"Ich muss zum Arzt gehen.","I have to go to the doctor."
263,Krankenhaus,das,Krankenhäuser,"hospital",noun,"Sie liegt im Krankenhaus.","She is in the hospital."
264,krank,,,"sick; ill",adjective,"Mein Sohn ist krank.","My son is sick."
265,gesund,,,"healthy",adjective,"Sport hält dich gesund.","Exercise keeps you healthy."
266,Körper,der,Körper,"body",noun,"Der Körper braucht Schlaf.","The body needs sleep."
267,Herz,das,Herzen,"heart",noun,"Mein Herz schlägt schnell.","My heart is beating fast."
268,Fuß,der,Füße,"foot",noun,"Mir tun die Füße weh.","My feet hurt."
269,Arm,der,Arme,"arm",noun,"Er hat sich den Arm gebrochen.","He broke his arm."
270,Haar,das,Haare,"hair",noun,"Sie hat lange Haare.","She has long hair."
271,Gesicht,das,Gesichter,"face",noun,"Sein Gesicht war rot.","His face was red."
272,Ohr,das,Ohren,"ear",noun,"Der Hund hat große Ohren.","The dog has big ears."
273,Mund,der,Münder,"mouth",noun,"Mach den Mund auf!","Open your mouth!"
274,schlafen,,,"to sleep",verb,"Das Baby schläft.","The baby is sleeping."
275,aufstehen,,,"to get up",verb,"Ich stehe um sechs Uhr auf.","I get up at six o'clock."
276,müde,,,"tired",adjective,"Ich bin sehr müde.","I am very tired."
277,Kleidung,die,,"clothing",noun,"Sie kauft neue Kleidung.","She is buying new clothes."
278,Hemd,das,Hemden,"shirt",noun,"Das Hemd ist zu eng.","The shirt is too tight."
279,Hose,die,Hosen,"trousers; pants",noun,"Die Hose passt gut.","The trousers fit well."
280,Schuh,der,Schuhe,"shoe",noun,"Meine Schuhe sind nass.","My shoes are wet."
281,tragen,,,"to carry; to wear",verb,"Er trägt einen schwarzen Mantel.","He is wearing a black coat."
282,Farbe,die,Farben,"color",noun,"Welche Farbe magst du?","Which color do you like?"
283,rot,,,"red",adjective,"Sie fährt ein rotes Auto.","She drives a red car."
284,blau,,,"blue",adjective,"Der Himmel ist blau.","The sky is blue."
285,grün,,,"green",adjective,"Die Blätter sind grün.","The leaves are green."
286,schwarz,,,"black",adjective,"Er trägt eine schwarze Hose.","He is wearing black trousers."
287,weiß,,,"white",adjective,"Der Schnee ist weiß.","The snow is white."
288,gelb,,,"yellow",adjective,"Die Blume ist gelb.","The flower is yellow."
289,Himmel,der,Himmel,"sky; heaven",noun,"Am Himmel sind keine Wolken.","There are no clouds in the sky."
290,Schnee,der,,"snow",noun,"Der Schnee schmilzt schnell.","The snow is melting fast."
291,Wind,der,Winde,"wind",noun,"Heute weht ein kalter Wind.","A cold wind is blowing today."
292,Luft,die,Lüfte,"air",noun,"Die Luft ist frisch.","The air is fresh."
293,Feuer,das,Feuer,"fire",noun,"Das Feuer brennt hell.","The fire is burning brightly."
294,Licht,das,Lichter,"light",noun,"Mach bitte das Licht an.","Please turn on the light."
295,dunkel,,,"dark",adjective,"Es wird langsam dunkel.","It is slowly getting dark."
296,hell,,,"bright; light",adjective,"Das Zimmer ist sehr hell.","The room is very bright."
297,offen,,,"open",adjective,"Das Fenster steht offen.","The window is open."
298,voll,,,"full",adjective,"Der Zug war ganz voll.","The train was completely full."
299,leer,,,"empty",adjective,"Die Flasche ist leer.","The bottle is empty."
300,Flasche,die,Flaschen,"bottle",noun,"Bring bitte eine Flasche Wasser.","Please bring a bottle of water."
301,Glas,das,Gläser,"glass",noun,"Das Glas ist zerbrochen.","The glass is broken."
302,Papier,das,Papiere,"paper",noun,"Ich brauche ein Blatt Papier.","I need a sheet of paper."
303,Brief,der,Briefe,"letter",noun,"Der Brief kam gestern an.","The letter arrived yesterday."
304,Zeitung,die,Zeitungen,"newspaper",noun,"Er liest jeden Morgen die Zeitung.","He reads the newspaper every morning."
305,Telefon,das,Telefone,"telephone",noun,"Das Telefon klingelt.","The telephone is ringing."
306,anrufen,,,"to call (on the phone)",verb,"Ruf mich bitte später an.","Please call me later."
307,Computer,der,Computer,"computer",noun,"Mein Computer ist langsam.","My computer is slow."
308,Handy,das,Handys,"cell phone",noun,"Mein Handy ist leer.","My cell phone battery is dead."
309,Nummer,die,Nummern,"number",noun,"Wie ist deine Nummer?","What is your number?"
310,Name,der,Namen,"name",noun,"Wie ist Ihr Name?","What is your name?"
311,Adresse,die,Adressen,"address",noun,"Schreib mir deine Adresse.","Write down your address for me."
312,Stelle,die,Stellen,"place; position; job",noun,"An dieser Stelle war ein Baum.","There was a tree in this spot."
313,Platz,der,Plätze,"place; square; seat",noun,"Ist dieser Platz frei?","Is this seat free?"
314,frei,,,"free; available",adjective,"Am Freitag habe ich frei.","I am off on Friday."
315,Raum,der,Räume,"room; space",noun,"Der Raum ist zu klein.","The room is too small."
316,Welt,die,Welten,"world",noun,"Er ist um die Welt gereist.","He traveled around the world."
317,Leute,die,Leute,"people",noun,"Viele Leute waren da.","Many people were there."
318,Kollege,der,Kollegen,"colleague",noun,"Mein Kollege hilft mir oft.","My colleague often helps me."
319,Chef,der,Chefs,"boss",noun,"Der Chef ist heute nicht da.","The boss is not here today."
320,Kunde,der,Kunden,"customer",noun,"Der Kunde wartet schon.","The customer is already waiting."
