rank,german,article,plural,english,pos,example_de,example_en
20,Gericht,das,Gerichte,"dish",noun,"Dieses Gericht ist sehr scharf.","This dish is very spicy."
21,Portion,die,Portionen,"portion; serving",noun,"Die Portion ist zu groß.","The portion is too big."
22,frühstücken,,,"to have breakfast",verb,"Wir frühstücken um acht.","We have breakfast at eight."
23,essen,,,"to eat",verb,"Was möchtest du essen?","What would you like to eat?"
24,trinken,,,"to drink",verb,"Ich trinke morgens Kaffee.","I drink coffee in the morning."
25,schmecken,,,"to taste",verb,"Das Essen schmeckt sehr gut.","The food tastes very good."
26,probieren,,,"to try; to taste",verb,"Probier mal die Suppe!","Try the soup!"
27,empfehlen,,,"to recommend",verb,"Was können Sie empfehlen?","What can you recommend?"
28,servieren,,,"to serve",verb,"Das Essen wird warm serviert.","The food is served warm."
29,Hunger,der,,"hunger",noun,"Ich habe großen Hunger.","I am very hungry."
30,Durst,der,,"thirst",noun,"Hast du Durst?","Are you thirsty?"
31,hungrig,,,"hungry",adjective,"Die Kinder sind hungrig.","The children are hungry."
32,durstig,,,"thirsty",adjective,"Nach dem Sport bin ich durstig.","After exercise I am thirsty."
33,satt,,,"full; satisfied",adjective,"Danke, ich bin satt.","Thank you, I am full."
34,lecker,,,"delicious; tasty",adjective,"Der Kuchen ist lecker.","The cake is delicious."
35,Getränk,das,Getränke,"drink; beverage",noun,"Möchten Sie ein Getränk?","Would you like a drink?"
36,Wasser,das,Wasser,"water",noun,"Ein Glas Wasser, bitte.","A glass of water, please."
37,Mineralwasser,das,,"sparkling water",noun,"Ich trinke lieber Mineralwasser.","I prefer sparkling water."
38,Saft,der,Säfte,"juice",noun,"Der Saft ist frisch gepresst.","The juice is freshly squeezed."
39,Orangensaft,der,,"orange juice",noun,"Zum Frühstück trinke ich Orangensaft.","I drink orange juice at breakfast."
40,Apfelsaft,der,,"apple juice",noun,"Für die Kinder Apfelsaft, bitte.","Apple juice for the children, please."
41,Limonade,die,Limonaden,"lemonade; soda",noun,"Die Limonade ist zu süß.","The lemonade is too sweet."
42,Kaffee,der,Kaffees,"coffee",noun,"Ich trinke meinen Kaffee schwarz.","I drink my coffee black."
43,Tee,der,Tees,"tea",noun,"Möchtest du einen Tee?","Would you like a tea?"
44,Milch,die,,"milk",noun,"Nimmst du Milch im Kaffee?","Do you take milk in your coffee?"
45,Bier,das,Biere,"beer",noun,"Ein Bier, bitte!","A beer, please!"
46,Wein,der,Weine,"wine",noun,"Wir trinken einen guten Wein.","We are drinking a good wine."
47,Rotwein,der,Rotweine,"red wine",noun,"Zum Fleisch passt Rotwein.","Red wine goes well with meat."
48,Weißwein,der,Weißweine,"white wine",noun,"Der Weißwein ist gut gekühlt.","The white wine is well chilled."
49,Brot,das,Brote,"bread",noun,"Wir kaufen frisches Brot.","We are buying fresh bread."
50,Brötchen,das,Brötchen,"bread roll",noun,"Zum Frühstück esse ich ein Brötchen.","I eat a roll for breakfast."
51,Butter,die,,"butter",noun,"Die Butter ist noch hart.","The butter is still hard."
52,Marmelade,die,Marmeladen,"jam",noun,"Sie kocht Marmelade selbst.","She makes jam herself."
53,Honig,der,,"honey",noun,"Nimm Honig in den Tee.","Put honey in your tea."
54,Käse,der,Käse,"cheese",noun,"Dieser Käse kommt aus Frankreich.","This cheese comes from France."
55,Wurst,die,Würste,"sausage",noun,"Die Wurst ist sehr würzig.","The sausage is very spicy."
56,Schinken,der,Schinken,"ham",noun,"Ich möchte ein Brot mit Schinken.","I would like a ham sandwich."
57,Ei,das,Eier,"egg",noun,"Ich esse morgens ein Ei.","I eat an egg in the morning."
58,Fleisch,das,,"meat",noun,"Ich esse kein Fleisch.","I do not eat meat."
59,Rindfleisch,das,,"beef",noun,"Das Rindfleisch ist sehr zart.","The beef is very tender."
60,Schweinefleisch,das,,"pork",noun,"Sie isst kein Schweinefleisch.","She does not eat pork."
61,Hähnchen,das,Hähnchen,"chicken",noun,"Wir bestellen Hähnchen mit Reis.","We are ordering chicken with rice."
62,Fisch,der,Fische,"fish",noun,"Der Fisch ist heute frisch.","The fish is fresh today."
63,Lachs,der,Lachse,"salmon",noun,"Als Vorspeise gibt es Lachs.","There is salmon as a starter."
64,Kartoffel,die,Kartoffeln,"potato",noun,"Die Kartoffeln sind noch hart.","The potatoes are still hard."
65,Pommes,die,,"fries; chips",noun,"Die Kinder wollen Pommes.","The children want fries."
66,Reis,der,,"rice",noun,"Der Reis ist fertig.","The rice is ready."
67,Nudeln,die,Nudeln,"noodles; pasta",noun,"Wir essen heute Nudeln.","We are eating pasta today."
68,Suppe,die,Suppen,"soup",noun,"Die Suppe ist zu heiß.","The soup is too hot."
69,Salat,der,Salate,"salad; lettuce",noun,"Ich nehme einen grünen Salat.","I will have a green salad."
70,Gemüse,das,,"vegetables",noun,"Iss mehr Gemüse!","Eat more vegetables!"
71,Tomate,die,Tomaten,"tomato",noun,"Die Tomaten sind reif.","The tomatoes are ripe."
72,Gurke,die,Gurken,"cucumber",noun,"Schneide die Gurke in Scheiben.","Cut the cucumber into slices."
73,Zwiebel,die,Zwiebeln,"onion",noun,"Von Zwiebeln muss ich weinen.","Onions make me cry."
74,Knoblauch,der,,"garlic",noun,"Das Gericht hat viel Knoblauch.","The dish has a lot of garlic."
75,Karotte,die,Karotten,"carrot",noun,"Die Karotten sind süß.","The carrots are sweet."
76,Pilz,der,Pilze,"mushroom",noun,"Die Soße ist mit Pilzen.","The sauce has mushrooms in it."
77,Bohne,die,Bohnen,"bean",noun,"Grüne Bohnen sind gesund.","Green beans are healthy."
78,Erbse,die,Erbsen,"pea",noun,"Er mag keine Erbsen.","He does not like peas."
79,Spinat,der,,"spinach",noun,"Spinat schmeckt mit Knoblauch.","Spinach tastes good with garlic."
80,Obst,das,,"fruit",noun,"Obst ist gesund.","Fruit is healthy."
81,Apfel,der,Äpfel,"apple",noun,"Der Apfel schmeckt süß.","The apple tastes sweet."
82,Banane,die,Bananen,"banana",noun,"Nimm eine Banane für unterwegs.","Take a banana for the road."
83,Orange,die,Orangen,"orange",noun,"Die Orangen sind sehr saftig.","The oranges are very juicy."
84,Birne,die,Birnen,"pear",noun,"Die Birne ist noch nicht reif.","The pear is not ripe yet."
85,Traube,die,Trauben,"grape",noun,"Wir kaufen ein Kilo Trauben.","We are buying a kilo of grapes."
86,Erdbeere,die,Erdbeeren,"strawberry",noun,"Im Juni gibt es Erdbeeren.","There are strawberries in June."
87,Kirsche,die,Kirschen,"cherry",noun,"Der Kuchen ist mit Kirschen.","The cake has cherries in it."
88,Zitrone,die,Zitronen,"lemon",noun,"Ich möchte Wasser mit Zitrone.","I would like water with lemon."
89,Nuss,die,Nüsse,"nut",noun,"Der Salat ist mit Nüssen.","The salad has nuts in it."
90,Kuchen,der,Kuchen,"cake",noun,"Sie backt einen Kuchen.","She is baking a cake."
91,Torte,die,Torten,"layer cake; tart",noun,"Zum Geburtstag gibt es Torte.","There is cake for the birthday."
92,Eis,das,,"ice cream; ice",noun,"Die Kinder möchten Eis.","The children would like ice cream."
93,Keks,der,Kekse,"cookie; biscuit",noun,"Nimm dir einen Keks.","Have a cookie."
94,Schokolade,die,Schokoladen,"chocolate",noun,"Ich esse gern dunkle Schokolade.","I like eating dark chocolate."
95,Zucker,der,,"sugar",noun,"Nimmst du Zucker?","Do you take sugar?"
96,Salz,das,Salze,"salt",noun,"Gib mir bitte das Salz.","Please pass me the salt."
97,Pfeffer,der,,"pepper",noun,"Etwas Pfeffer, bitte.","A little pepper, please."
98,Öl,das,Öle,"oil",noun,"Nimm Öl für den Salat.","Use oil for the salad."
99,Essig,der,,"vinegar",noun,"Essig und Öl stehen auf dem Tisch.","Vinegar and oil are on the table."
100,Soße,die,Soßen,"sauce; gravy",noun,"Die Soße ist zu salzig.","The sauce is too salty."
101,Senf,der,,"mustard",noun,"Zur Wurst gehört Senf.","Mustard goes with sausage."
102,Mehl,das,,"flour",noun,"Für den Kuchen brauchst du Mehl.","You need flour for the cake."
103,Sahne,die,,"cream",noun,"Mit Sahne, bitte.","With cream, please."
104,Joghurt,der,Joghurts,"yogurt",noun,"Zum Frühstück esse ich Joghurt.","I eat yogurt for breakfast."
105,kochen,,,"to cook",verb,"Heute koche ich.","Today I am cooking."
106,backen,,,"to bake",verb,"Wir backen ein Brot.","We are baking a loaf of bread."
107,braten,,,"to fry; to roast",verb,"Brate das Fleisch kurz an.","Fry the meat briefly."
108,schneiden,,,"to cut; to slice",verb,"Schneide bitte das Brot.","Please slice the bread."
109,mischen,,,"to mix",verb,"Mische alles gut.","Mix everything well."
110,süß,,,"sweet",adjective,"Der Nachtisch ist sehr süß.","The dessert is very sweet."
111,sauer,,,"sour",adjective,"Die Zitrone ist sauer.","The lemon is sour."
112,salzig,,,"salty",adjective,"Die Suppe ist zu salzig.","The soup is too salty."
113,scharf,,,"spicy; hot",adjective,"Das Curry ist sehr scharf.","The curry is very spicy."
114,bitter,,,"bitter",adjective,"Der Kaffee schmeckt bitter.","The coffee tastes bitter."
115,frisch,,,"fresh",adjective,"Das Brot ist ganz frisch.","The bread is completely fresh."
116,roh,,,"raw",adjective,"Das Fleisch ist noch roh.","The meat is still raw."
117,gekocht,,,"cooked; boiled",adjective,"Ich möchte ein gekochtes Ei.","I would like a boiled egg."
118,gebraten,,,"fried; roasted",adjective,"Wir nehmen gebratenen Fisch.","We will have fried fish."
119,vegetarisch,,,"vegetarian",adjective,"Haben Sie etwas Vegetarisches?","Do you have anything vegetarian?"
120,Teller,der,Teller,"plate",noun,"Der Teller ist noch heiß.","The plate is still hot."
121,Gabel,die,Gabeln,"fork",noun,"Mir fehlt eine Gabel.","I am missing a fork."
122,Messer,das,Messer,"knife",noun,"Das Messer ist nicht scharf.","The knife is not sharp."
123,Löffel,der,Löffel,"spoon",noun,"Nimm einen Löffel für die Suppe.","Take a spoon for the soup."
124,Glas,das,Gläser,"glass",noun,"Das Glas ist leer.","The glass is empty."
125,Tasse,die,Tassen,"cup",noun,"Eine Tasse Kaffee, bitte.","A cup of coffee, please."
126,Flasche,die,Flaschen,"bottle",noun,"Bring bitte eine Flasche Wasser.","Please bring a bottle of water."
127,Serviette,die,Servietten,"napkin",noun,"Könnte ich eine Serviette haben?","Could I have a napkin?"
128,Schüssel,die,Schüsseln,"bowl",noun,"Der Salat ist in der Schüssel.","The salad is in the bowl."
129,Pfanne,die,Pfannen,"pan; frying pan",noun,"Die Pfanne ist zu heiß.","The pan is too hot."
130,Topf,der,Töpfe,"pot",noun,"Das Wasser kocht im Topf.","The water is boiling in the pot."
